                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3475,                 2.0245,                 1.1248,                0.99811,                    0.5,                0.52585,                0.43529,                 1.0575,                 2.8249,                0.87777,             0.00054142,             0.00054142,             0.00054142
                      1,                 1.2374,                 1.2162,                 1.0399,                0.99864,                    0.5,                0.91217,                0.63088,                 1.1641,                 2.4258,                 0.9362,              0.0010862,              0.0010862,              0.0010862
                      2,                 1.2196,                 1.1702,                  1.039,                0.87109,                0.93523,                0.97483,                0.75827,                0.95191,                  1.157,                0.92778,                0.00162,                0.00162,                0.00162
                      3,                 1.1571,                 1.0406,                  1.019,                0.91902,                0.95162,                0.96854,                0.80995,                 1.0247,                 0.7153,                 0.8349,              0.0016175,              0.0016175,              0.0016175
                      4,                 1.2094,                 1.0526,                 1.0362,                 0.8438,                0.91916,                 0.9816,                0.83526,                0.90968,                 0.9002,                 0.8542,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.1216,                0.95585,                 1.0009,                0.96281,                0.97919,                0.99104,                0.79909,                0.89955,                0.60119,                0.83455,               0.001601,               0.001601,               0.001601
                      6,                 1.0976,                0.91135,                0.99948,                0.96573,                0.98575,                0.99124,                0.85029,                0.85334,                0.62314,                0.81146,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.0887,                0.88242,                0.98722,                0.94657,                0.97084,                0.98049,                0.82824,                0.88654,                0.73372,                 0.8234,               0.001568,               0.001568,               0.001568
                      8,                 1.0964,                0.87805,                0.99482,                0.96274,                0.98441,                0.99147,                0.83656,                0.98361,                0.55775,                0.80543,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.0434,                0.82593,                0.97699,                0.97322,                0.98056,                0.99071,                0.86379,                0.77356,                0.51372,                0.79834,               0.001535,               0.001535,               0.001535
                     10,                 1.0706,                0.84426,                0.97153,                0.96247,                0.98808,                 0.9919,                0.85552,                0.81267,                0.56199,                0.80019,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.0362,                0.81222,                0.97178,                0.95942,                0.98187,                0.98892,                0.87234,                0.78964,                0.54032,                0.80187,               0.001502,               0.001502,               0.001502
                     12,                 1.0206,                0.80912,                0.97089,                0.97122,                0.98616,                0.99262,                0.86938,                0.75802,                0.52642,                0.80146,              0.0014855,              0.0014855,              0.0014855
                     13,                  1.008,                0.78923,                0.96581,                0.98473,                0.97427,                0.99336,                0.88787,                 0.7116,                0.46138,                0.78368,               0.001469,               0.001469,               0.001469
                     14,                 1.0046,                0.76205,                0.95848,                0.96408,                0.94249,                0.99354,                0.80763,                0.83457,                0.49839,                 0.8131,              0.0014525,              0.0014525,              0.0014525
                     15,                0.97163,                0.74767,                0.95546,                0.97241,                0.98327,                0.99346,                0.87741,                0.72945,                0.46021,                0.79561,               0.001436,               0.001436,               0.001436
                     16,                 1.0005,                0.75207,                0.95415,                0.96559,                0.97021,                0.99351,                 0.8433,                0.83681,                0.49833,                0.82546,              0.0014195,              0.0014195,              0.0014195
                     17,                0.99591,                0.76502,                0.97014,                0.96712,                0.98446,                 0.9924,                 0.8553,                 0.7715,                0.47974,                0.80673,              0.0014029,              0.0014029,              0.0014029
