               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12162,            0.037359,            0.029252,           0.0033228,            0.047554,           0.0019152,          0.00071591,             0.11692,            0.030073,            0.025957,               0.091,               0.001,               0.001
                   1,             0.11046,             0.03752,            0.023624,            0.075177,             0.03125,            0.033523,            0.022262,             0.10625,            0.030343,            0.021476,            0.080407,            0.001407,            0.001407
                   2,             0.10366,             0.03993,            0.019497,             0.08853,              0.0625,            0.068748,            0.033726,            0.097995,            0.030878,            0.017769,            0.069088,            0.001088,            0.001088
