               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12275,            0.037705,            0.030188,           0.0038033,            0.094429,           0.0029385,          0.00099174,             0.12008,            0.030292,            0.028002,              0.0955,              0.0005,              0.0005
                   1,             0.11422,            0.036427,            0.025394,            0.017193,            0.036685,           0.0095143,           0.0042654,             0.11096,            0.029149,            0.022436,            0.090056,           0.0010564,           0.0010564
                   2,             0.10575,              0.0405,            0.020128,            0.099546,              0.0625,            0.083025,            0.041543,            0.098877,            0.030612,            0.017878,            0.084565,           0.0015654,           0.0015654
                   3,            0.093694,            0.042624,            0.015398,             0.70669,             0.23438,             0.22191,             0.09324,            0.090018,            0.031256,            0.013918,            0.079027,           0.0020268,           0.0020268
                   4,            0.082134,            0.037135,            0.010853,              0.7039,             0.29688,             0.28181,             0.13427,            0.082171,            0.033374,            0.011219,            0.073441,           0.0024406,           0.0024406
                   5,            0.078429,            0.045557,           0.0085321,             0.24546,             0.29564,             0.21516,             0.10642,            0.085829,            0.036826,           0.0099393,            0.067807,            0.002807,            0.002807
                   6,            0.073322,            0.035893,           0.0067346,             0.19586,             0.53872,             0.21796,             0.12409,            0.076501,            0.051466,           0.0086572,            0.062126,           0.0031258,           0.0031258
                   7,            0.071456,            0.032353,           0.0061133,             0.25379,             0.58696,             0.24945,             0.12378,            0.082176,            0.044341,           0.0080545,            0.056397,           0.0033972,           0.0033972
                   8,            0.067303,            0.032115,           0.0053892,             0.41259,             0.46943,             0.34789,             0.18016,            0.079249,            0.036151,           0.0078862,            0.050621,            0.003621,            0.003621
                   9,            0.066965,            0.034647,           0.0057529,              0.2892,              0.6284,             0.33203,             0.15743,            0.077744,             0.03248,           0.0079022,            0.044797,           0.0037972,           0.0037972
                  10,             0.06483,            0.029663,            0.004554,             0.35269,             0.33498,             0.29656,             0.13303,            0.073952,            0.030382,           0.0077567,            0.038926,            0.003926,            0.003926
                  11,            0.067518,            0.028685,            0.004634,             0.30571,             0.61549,             0.36152,             0.22186,            0.074706,            0.026288,           0.0073577,            0.033007,           0.0040072,           0.0040072
                  12,            0.063102,            0.031431,           0.0044965,             0.38188,             0.57487,             0.43406,             0.26728,            0.063998,            0.025735,           0.0073325,            0.027041,            0.004041,            0.004041
                  13,            0.062985,            0.031559,           0.0040417,             0.40346,              0.5428,             0.45664,             0.25392,            0.065759,            0.026945,           0.0069477,            0.021027,           0.0040272,           0.0040272
                  14,            0.060739,            0.029804,            0.004404,             0.34251,             0.55765,             0.37205,             0.20453,             0.06788,            0.026271,           0.0070109,            0.014966,           0.0039658,           0.0039658
                  15,            0.058407,            0.030345,           0.0036616,             0.33107,             0.56386,             0.37622,               0.237,            0.067071,            0.026231,           0.0068984,            0.008857,            0.003857,            0.003857
                  16,            0.057551,            0.029255,           0.0040304,             0.33539,             0.65877,              0.3892,             0.24357,             0.06606,            0.024903,           0.0069114,            0.003664,            0.003664,            0.003664
                  17,            0.057036,             0.02868,           0.0036608,             0.31938,             0.61073,             0.35694,             0.15118,            0.068466,            0.023364,           0.0068655,            0.003664,            0.003664,            0.003664
                  18,             0.05428,            0.030732,           0.0035527,             0.39764,             0.66848,             0.44533,             0.25741,            0.060588,            0.024288,           0.0066893,            0.003268,            0.003268,            0.003268
                  19,            0.051275,            0.028919,           0.0034672,             0.49172,             0.55676,             0.47614,             0.22074,            0.058382,            0.025045,           0.0066392,            0.002872,            0.002872,            0.002872
                  20,            0.048371,            0.027778,           0.0032168,             0.43887,             0.68274,             0.48143,             0.28632,            0.058107,            0.024932,           0.0066927,            0.002476,            0.002476,            0.002476
                  21,            0.047278,            0.029204,           0.0034001,             0.50139,             0.67099,             0.51214,             0.28739,            0.063244,            0.024247,           0.0066744,             0.00208,             0.00208,             0.00208
                  22,            0.046275,            0.030106,           0.0030623,             0.56824,             0.69905,              0.5849,             0.35922,            0.055275,            0.024239,            0.006685,            0.001684,            0.001684,            0.001684
                  23,            0.042343,            0.029596,           0.0027676,             0.51415,             0.69792,              0.5628,             0.32818,            0.057408,            0.024427,           0.0066227,            0.001288,            0.001288,            0.001288
                  24,            0.042799,              0.0278,           0.0027271,             0.51093,             0.72011,             0.57492,             0.36998,            0.056032,             0.02393,           0.0066595,            0.000892,            0.000892,            0.000892
