               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.042518,            0.021788,           0.0025432,             0.60698,             0.65637,             0.57699,             0.40166,            0.059993,            0.023352,           0.0087812,            0.006535,            0.006535,            0.006535
                  37,            0.037237,            0.020669,           0.0027354,             0.55361,             0.69663,             0.57847,             0.37516,            0.062044,            0.023024,           0.0079107,            0.006436,            0.006436,            0.006436
                  38,            0.038798,            0.021087,           0.0022319,             0.52553,             0.74906,             0.55394,             0.35682,            0.055207,            0.024336,           0.0074732,            0.006337,            0.006337,            0.006337
                  39,            0.040379,            0.020871,           0.0023285,             0.47945,             0.72888,             0.50407,             0.24718,            0.056363,             0.02539,           0.0074517,            0.006238,            0.006238,            0.006238
                  40,            0.037431,            0.019074,           0.0019792,             0.52117,              0.6997,             0.53476,             0.36536,            0.060088,            0.023717,           0.0076438,            0.006139,            0.006139,            0.006139
                  41,            0.038372,            0.021753,            0.002383,             0.60806,             0.70082,             0.61075,             0.35065,            0.055961,            0.024651,           0.0074522,             0.00604,             0.00604,             0.00604
                  42,            0.038242,             0.01803,           0.0020822,             0.62795,             0.70924,             0.60319,             0.40239,            0.051984,              0.0259,           0.0070766,            0.005941,            0.005941,            0.005941
                  43,            0.037407,            0.017731,           0.0025247,             0.56628,             0.60096,             0.54695,              0.2699,            0.059914,            0.026247,           0.0072522,            0.005842,            0.005842,            0.005842
                  44,            0.037778,            0.019089,            0.001942,             0.59564,              0.7216,             0.60964,             0.40343,            0.054077,             0.02581,           0.0067865,            0.005743,            0.005743,            0.005743
                  45,            0.035095,            0.018095,            0.001962,             0.61844,             0.62571,             0.58997,             0.32913,            0.055705,            0.024756,            0.007027,            0.005644,            0.005644,            0.005644
                  46,            0.036589,            0.020847,            0.001918,             0.60373,             0.65693,              0.5924,             0.39337,            0.051937,            0.025099,           0.0068366,            0.005545,            0.005545,            0.005545
                  47,            0.036751,            0.019234,           0.0019713,              0.6658,             0.59851,              0.6103,             0.39322,             0.05502,            0.023701,           0.0071633,            0.005446,            0.005446,            0.005446
                  48,            0.034442,             0.02023,           0.0019797,             0.58459,             0.77405,             0.64188,             0.41904,            0.049827,            0.024287,           0.0071542,            0.005347,            0.005347,            0.005347
                  49,            0.034511,            0.019158,           0.0021549,             0.58892,             0.72962,             0.64248,             0.38381,            0.055994,            0.024058,           0.0077157,            0.005248,            0.005248,            0.005248
                  50,            0.035685,            0.019403,           0.0019009,             0.62835,             0.69769,              0.6547,             0.43607,            0.053008,            0.023863,           0.0075181,            0.005149,            0.005149,            0.005149
                  51,            0.034187,             0.01864,           0.0018874,             0.65665,             0.68803,             0.64283,             0.44882,            0.055993,            0.023977,            0.008016,             0.00505,             0.00505,             0.00505
                  52,            0.033412,            0.017518,           0.0019701,             0.65778,             0.73505,              0.6304,             0.37897,            0.051423,            0.025062,            0.008388,            0.004951,            0.004951,            0.004951
                  53,            0.032913,            0.018624,           0.0020686,             0.63051,             0.68818,             0.59803,             0.40527,             0.05362,            0.027512,           0.0081798,            0.004852,            0.004852,            0.004852
                  54,            0.032372,            0.019222,           0.0016735,             0.64814,             0.69905,             0.60679,             0.36514,            0.052401,            0.026962,           0.0078895,            0.004753,            0.004753,            0.004753
                  55,            0.033223,            0.018284,           0.0017035,             0.64668,             0.68459,             0.61462,             0.42147,            0.054439,            0.025222,           0.0088534,            0.004654,            0.004654,            0.004654
                  56,            0.032757,            0.019484,           0.0017114,             0.68775,             0.58832,             0.58469,             0.30426,            0.055362,            0.024859,           0.0088584,            0.004555,            0.004555,            0.004555
                  57,            0.032671,            0.019954,           0.0017735,             0.60182,             0.69405,             0.61302,             0.42256,             0.05024,             0.02568,           0.0082649,            0.004456,            0.004456,            0.004456
                  58,            0.030626,             0.02024,           0.0018106,             0.56857,             0.71943,             0.59219,             0.37931,             0.05192,            0.024264,           0.0077473,            0.004357,            0.004357,            0.004357
                  59,            0.030918,            0.016491,           0.0016978,             0.64137,              0.6678,              0.6184,             0.40995,            0.047658,            0.023911,           0.0077548,            0.004258,            0.004258,            0.004258
                  60,            0.032081,             0.02076,           0.0016084,             0.56333,             0.71943,             0.60551,             0.36348,            0.051019,            0.023734,           0.0081463,            0.004159,            0.004159,            0.004159
                  61,             0.03118,             0.01907,           0.0020793,             0.63669,             0.66712,             0.64556,             0.44659,            0.050057,            0.024379,           0.0082569,             0.00406,             0.00406,             0.00406
                  62,            0.030147,            0.017404,           0.0011329,             0.73507,             0.56114,             0.62872,             0.41749,            0.053384,            0.025096,           0.0086918,            0.003961,            0.003961,            0.003961
                  63,            0.030898,            0.019868,           0.0015099,             0.60098,             0.70856,             0.61395,             0.45526,            0.051904,             0.02524,           0.0090816,            0.003862,            0.003862,            0.003862
                  64,            0.029751,            0.018499,           0.0015866,             0.61681,             0.72418,             0.61751,               0.408,            0.052746,            0.025096,            0.008825,            0.003763,            0.003763,            0.003763
                  65,            0.029809,            0.016794,           0.0015401,              0.6112,             0.71651,             0.61076,             0.44533,             0.05239,            0.025303,           0.0089084,            0.003664,            0.003664,            0.003664
