                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3548,                 3.5825,                 1.1523,                0.00665,                0.53333,                0.10024,                0.05145,                0.98372,                 3.5799,                0.93676,              6.668e-05,              6.668e-05,              6.668e-05
                      1,                  1.193,                 3.0833,                  1.053,                0.01393,                0.74167,                 0.3279,                0.26522,                0.99128,                 3.3806,                0.89396,             0.00014854,             0.00014854,             0.00014854
                      2,                 1.2263,                 1.9513,                 1.0696,                      1,                0.10869,                0.60363,                 0.4219,                 1.0155,                 3.0266,                0.90407,             0.00022876,             0.00022876,             0.00022876
                      3,                 1.2704,                 1.4462,                 1.0479,                0.02167,                0.91667,                0.51668,                0.41894,                0.98471,                 3.0765,                0.86493,             0.00030732,             0.00030732,             0.00030732
                      4,                 1.1986,                  1.238,                 1.0091,                0.75058,                0.45833,                0.47217,                0.38926,                 1.0585,                 3.0553,                0.88532,             0.00038424,             0.00038424,             0.00038424
                      5,                 1.2578,                 1.2386,                  1.074,                0.89231,                0.30449,                0.48456,                0.36607,                 1.1427,                 2.9845,                0.92499,              0.0004595,              0.0004595,              0.0004595
                      6,                 1.2045,                  1.187,                 1.0603,                0.95636,                 0.4366,                0.52714,                0.41426,                 1.0512,                 2.8736,                0.94055,             0.00053311,             0.00053311,             0.00053311
                      7,                 1.2162,                 1.1703,                 1.0516,                0.91684,                0.33333,                0.46631,                0.32447,                 1.1365,                 2.8965,                 1.0357,             0.00060508,             0.00060508,             0.00060508
                      8,                 1.1717,                 1.1647,                  1.029,                0.78423,                0.33333,                0.41214,                0.21285,                   1.18,                 2.9863,                 1.0558,             0.00067539,             0.00067539,             0.00067539
                      9,                 1.2233,                 1.0358,                 1.0473,                0.94135,                0.31474,                0.47449,                0.36261,                 1.1506,                 2.7228,                 1.0063,             0.00074405,             0.00074405,             0.00074405
                     10,                 1.1932,                 1.0383,                 1.0203,                0.80966,                0.33333,                  0.498,                0.34357,                 1.2217,                  2.745,                 1.0682,             0.00081106,             0.00081106,             0.00081106
                     11,                 1.1437,                 1.0006,                 1.0012,                0.83322,                0.33333,                0.58418,                0.42277,                 1.1567,                 2.6746,                 1.0123,             0.00087642,             0.00087642,             0.00087642
                     12,                 1.1749,                0.99396,                 1.0131,                0.90819,                0.37087,                0.69719,                0.52132,                 1.1076,                 2.5238,                0.99892,             0.00094013,             0.00094013,             0.00094013
