                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9398,                 3.5137,                 1.0884,                0.00539,                 0.3448,                 0.3296,                0.22204,                 1.7564,                 3.7103,                 0.8861,             0.00025722,             0.00025722,             0.00025722
                      2,                 1.3899,                 1.2805,                0.92404,                      1,                0.20775,                0.33173,                0.27907,                 1.3887,                 3.4676,                0.85024,             0.00052699,             0.00052699,             0.00052699
                      3,                 1.2768,                0.98544,                0.89501,                0.99735,                0.33333,                0.49396,                0.36798,                 1.4892,                 3.1011,                0.86746,             0.00079496,             0.00079496,             0.00079496
                      4,                 1.2292,                  0.879,                0.89251,                0.99694,                0.33333,                 0.7368,                0.53255,                 1.3153,                 2.5152,                0.84681,              0.0010611,              0.0010611,              0.0010611
                      5,                 1.1791,                0.81212,                0.88574,                0.75664,                0.44742,                0.74935,                0.50569,                 1.3114,                 2.0631,                0.85538,              0.0013255,              0.0013255,              0.0013255
                      6,                 1.1894,                0.77319,                0.88592,                0.61748,                0.70204,                0.81282,                0.55722,                 1.2532,                 1.2762,                0.84771,              0.0014054,              0.0014054,              0.0014054
                      7,                 1.1381,                0.69073,                0.87561,                0.56565,                 0.8373,                0.86632,                0.60738,                 1.3116,                0.90609,                0.83755,              0.0014007,              0.0014007,              0.0014007
                      8,                 1.1226,                0.65695,                0.87274,                0.65865,                0.81692,                0.89539,                0.67554,                 1.3068,                0.82561,                0.83184,               0.001396,               0.001396,               0.001396
                      9,                 1.0872,                0.61395,                0.87078,                 0.6468,                0.83625,                0.74955,                 0.5107,                 1.2655,                 0.7155,                0.84354,              0.0013913,              0.0013913,              0.0013913
                     10,                 1.0975,                0.60688,                0.87051,                0.62005,                0.87601,                0.77643,                0.60185,                 1.1843,                0.78386,                0.83116,              0.0013866,              0.0013866,              0.0013866
                     11,                 1.0613,                0.57414,                0.86178,                0.86338,                0.85237,                0.94841,                0.72224,                 1.1434,                0.60172,                0.81932,              0.0013818,              0.0013818,              0.0013818
                     12,                 1.0651,                0.57097,                0.86757,                0.85694,                0.91272,                0.97615,                0.72955,                 1.0966,                 0.5928,                0.82126,              0.0013771,              0.0013771,              0.0013771
                     13,                  1.026,                0.55091,                0.86112,                0.81684,                0.91381,                0.96032,                0.74234,                 1.1762,                 0.6292,                0.82188,              0.0013724,              0.0013724,              0.0013724
                     14,                 1.0688,                0.55603,                0.86264,                0.84168,                0.82698,                0.97432,                0.74257,                 1.0607,                0.62905,                0.81681,              0.0013677,              0.0013677,              0.0013677
                     15,                 1.0186,                0.52398,                0.85682,                0.91707,                 0.9429,                0.96677,                0.72624,                 1.1075,                0.52361,                0.81713,               0.001363,               0.001363,               0.001363
                     16,                 1.0169,                0.51588,                0.85809,                0.80672,                0.91175,                0.93338,                0.75038,                 1.0567,                0.58177,                0.81644,              0.0013583,              0.0013583,              0.0013583
                     17,                 1.0044,                0.50338,                0.85518,                0.92929,                0.97173,                0.97758,                0.79199,                0.98737,                0.49391,                0.80715,              0.0013535,              0.0013535,              0.0013535
                     18,                 1.0157,                0.52051,                0.85358,                 0.9291,                0.91423,                0.97217,                0.77856,                 1.0807,                0.56017,                0.81181,              0.0013488,              0.0013488,              0.0013488
                     19,                 0.9704,                0.50164,                 0.8547,                 0.8171,                0.89989,                 0.9481,                0.78456,                 1.0883,                0.61145,                0.81401,              0.0013441,              0.0013441,              0.0013441
                     20,                0.98732,                0.50437,                0.85445,                0.76176,                0.82445,                0.97734,                0.77511,                 1.0636,                0.60342,                0.82193,              0.0013394,              0.0013394,              0.0013394
                     21,                 1.0033,                0.51869,                0.85788,                0.95332,                0.88216,                0.97672,                0.78347,                0.99887,                0.55795,                0.81266,              0.0013347,              0.0013347,              0.0013347
                     22,                  0.965,                0.48614,                0.84835,                0.91953,                0.88112,                0.97519,                0.80946,                0.96926,                0.51183,                0.80527,                0.00133,                0.00133,                0.00133
                     23,                0.95301,                  0.476,                0.84996,                 0.9548,                0.96664,                0.97838,                0.80773,                0.98191,                0.46269,                 0.8078,              0.0013253,              0.0013253,              0.0013253
                     24,                0.94083,                0.47236,                0.84461,                0.96319,                0.94798,                0.98005,                0.82519,                0.96536,                0.47227,                0.80513,              0.0013205,              0.0013205,              0.0013205
                     25,                0.93852,                0.47178,                0.84472,                0.95167,                0.96056,                0.97963,                0.82081,                0.94038,                0.45666,                0.80106,              0.0013158,              0.0013158,              0.0013158
                     26,                0.93213,                0.46501,                0.84462,                0.96036,                0.96634,                0.98032,                0.81733,                0.96959,                0.45469,                0.80211,              0.0013111,              0.0013111,              0.0013111
                     27,                0.92357,                0.46617,                0.84398,                0.94551,                0.93212,                 0.9794,                0.80016,                0.99866,                0.48505,                0.80685,              0.0013064,              0.0013064,              0.0013064
                     28,                0.92993,                0.46149,                0.84547,                0.96384,                 0.9496,                0.97925,                0.83026,                0.90058,                0.46827,                0.80096,              0.0013017,              0.0013017,              0.0013017
                     29,                0.94842,                0.45814,                0.84441,                0.95945,                0.97394,                0.97965,                 0.8117,                0.90431,                0.44641,                0.80093,               0.001297,               0.001297,               0.001297
                     30,                0.89569,                0.43599,                0.83743,                0.95066,                0.96067,                0.98044,                0.79917,                 1.0006,                0.46657,                0.80403,              0.0012922,              0.0012922,              0.0012922
                     31,                0.90746,                0.44312,                0.84045,                0.96955,                0.96581,                0.98086,                0.83925,                 0.8972,                0.42646,                0.79794,              0.0012875,              0.0012875,              0.0012875
                     32,                0.88479,                0.44098,                0.83904,                0.94612,                 0.9525,                 0.9797,                0.81472,                0.87899,                0.44782,                0.80364,              0.0012828,              0.0012828,              0.0012828
                     33,                0.89021,                0.43891,                0.84025,                0.96501,                0.97093,                0.98005,                0.83136,                0.87212,                0.42858,                0.79935,              0.0012781,              0.0012781,              0.0012781
                     34,                0.91434,                0.45212,                0.84074,                0.93563,                0.96858,                0.98167,                0.82084,                0.86485,                0.42953,                0.79971,              0.0012734,              0.0012734,              0.0012734
                     35,                0.87653,                  0.434,                0.83915,                 0.9723,                 0.9645,                 0.9799,                 0.8337,                0.85146,                0.43155,                0.80322,              0.0012687,              0.0012687,              0.0012687
                     36,                0.91379,                0.44845,                0.83993,                0.85257,                0.96716,                0.97061,                0.81742,                0.95099,                0.52419,                0.80377,               0.001264,               0.001264,               0.001264
                     37,                0.87835,                  0.427,                0.83645,                0.94563,                0.96918,                0.98244,                0.82029,                0.87283,                0.41274,                 0.8024,              0.0012592,              0.0012592,              0.0012592
                     38,                0.86246,                0.42366,                0.83632,                0.95355,                0.95806,                0.98372,                0.82601,                0.90848,                0.43521,                0.80227,              0.0012545,              0.0012545,              0.0012545
                     39,                0.89493,                0.44477,                0.83912,                 0.9686,                0.97486,                0.98292,                0.81791,                0.88988,                0.43396,                0.79834,              0.0012498,              0.0012498,              0.0012498
                     40,                0.90928,                0.44618,                0.83851,                0.97165,                0.96992,                0.97875,                0.81767,                0.96387,                0.45903,                0.80312,              0.0012451,              0.0012451,              0.0012451
                     41,                0.88546,                0.42887,                 0.8372,                0.96345,                0.97084,                0.98102,                0.84003,                0.84529,                0.40565,                0.79734,              0.0012404,              0.0012404,              0.0012404
                     42,                0.85291,                0.41667,                0.83606,                0.95893,                0.97579,                0.98362,                0.81131,                0.92685,                0.41812,                0.79634,              0.0012357,              0.0012357,              0.0012357
                     43,                0.87529,                0.42526,                0.83587,                0.87157,                0.94702,                0.94698,                0.78647,                 1.0028,                0.53118,                 0.8048,              0.0012309,              0.0012309,              0.0012309
                     44,                 0.8552,                0.41699,                0.83555,                0.96176,                0.97015,                0.98316,                0.85422,                0.82523,                 0.4004,                0.79374,              0.0012262,              0.0012262,              0.0012262
                     45,                0.83941,                0.40904,                 0.8332,                0.93104,                0.94401,                0.97593,                0.84408,                0.84997,                0.44009,                 0.7977,              0.0012215,              0.0012215,              0.0012215
                     46,                0.84816,                0.41524,                0.83198,                0.96381,                0.97782,                0.98174,                0.83995,                0.85676,                0.40854,                0.79761,              0.0012168,              0.0012168,              0.0012168
                     47,                0.83464,                0.41724,                0.83168,                0.94509,                  0.951,                0.98216,                0.83682,                 0.8653,                0.44788,                0.79678,              0.0012121,              0.0012121,              0.0012121
                     48,                0.85952,                0.42377,                0.82982,                0.95926,                0.97387,                0.98071,                0.83617,                0.86571,                0.42359,                0.79716,              0.0012074,              0.0012074,              0.0012074
                     49,                0.81947,                0.40427,                0.83515,                0.93494,                0.95861,                0.98047,                0.80042,                0.86549,                0.44176,                0.80126,              0.0012026,              0.0012026,              0.0012026
                     50,                0.85349,                0.41857,                0.83537,                0.94148,                0.96972,                0.98365,                0.83192,                0.83036,                0.41543,                0.79557,              0.0011979,              0.0011979,              0.0011979
                     51,                0.84378,                0.41197,                0.83478,                0.96511,                0.98159,                0.98221,                0.84701,                0.82176,                0.39385,                0.79252,              0.0011932,              0.0011932,              0.0011932
                     52,                0.82544,                 0.4077,                0.83216,                0.96838,                0.97682,                0.98228,                0.85233,                0.76837,                0.40073,                0.79259,              0.0011885,              0.0011885,              0.0011885
                     53,                0.81397,                0.40935,                0.83095,                0.82877,                0.96002,                  0.931,                0.78716,                0.81782,                0.52795,                0.79497,              0.0011838,              0.0011838,              0.0011838
                     54,                0.82794,                 0.4137,                0.82934,                0.96131,                  0.967,                0.98185,                 0.8442,                0.89423,                0.43623,                0.79902,              0.0011791,              0.0011791,              0.0011791
                     55,                0.82623,                0.40541,                0.82944,                0.97154,                0.97639,                0.98186,                0.84377,                0.83819,                0.38751,                0.79499,              0.0011744,              0.0011744,              0.0011744
                     56,                0.80785,                0.39511,                0.82986,                0.94393,                0.97548,                0.98319,                 0.8437,                0.86713,                0.39496,                0.79369,              0.0011696,              0.0011696,              0.0011696
